0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Appendant ID,Package name,Billing Category,Com Category,OCS Name,Location, Price to customer  , Deducted Amount from wallet , Profit ,Short Code,Validity,Data Rating Group,Rounding Data,Onnet Mins,All Nets Mins,SMS,MBs,FACEBOOK(MB),WHATSAPP(MB),BONUS SMS,SOCIAL (MB),ILD  Sec,"Tigo -Tigo
(On net Wallet)","Mitandao Yote
(All net Wallet)","SMS 
(SMS Wallet)","Intaneti
(MBs Wallet)",FACEBOOK Wallet,WHATSAPP Wallet,Bonus SMS Wallet,BONUS MB's Wallet,SOCIAL Wallet,Kimataifa (ILD Wallet),USSD Flash Notifications,,Activation Notifications 100,
3620025,SMSMonthEVC,SMS,SMS,SMS MONTH_EVC,All Zones ,"  1,000 ",  500 ,  500 ,*148*08#,30 days,N/A,N/A,0,0,10000,0,0,0,0,0,0,N/A,N/A,5116,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
3021111,lakekabangmwezi,ALL NETS,ALL NETS,Kabang_Mwezi_Evc,All Zones ,"  30,000 ","  27,000 ","  3,000 ",*148*08#,30 days,N/A,N/A,0,600,3000,3072,0,0,0,1024,0,N/A,5239,5257,5248,N/A,N/A,N/A,N/A,5044,5149,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
3750301,MAD50000_EVC,ALL NETS,ALL NETS,MAD50000_EVC,All Zones ,"  50,000 ","  45,000 ","  5,000 ",*148*08#,30 days,N/A,N/A,0,1000,7000,7168,0,0,0,2048,600,N/A,5179,5189,5202,N/A,N/A,N/A,N/A,5044,5149,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
3620037,700MB,DATA,Data+Min,700MB + 35Min @ 2000Tshs,All zones,"  2,000 ","  1,900 ",  100 ,*148*08#,24 hrs,N/A,256Kb,34,1,0,700,0,0,0,0,0,5005,5007,N/A,5046,N/A,N/A,N/A,N/A,N/A,N/A,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
3620034,150MB,DATA,Data+Min,150MB + 15Min @ 1000Tshs,All zones,"  1,000 ",  900 ,  100 ,*148*08#,24 hrs,N/A,256Kb,6,1,0,150,0,0,0,0,0,5005,5007,N/A,5064,N/A,N/A,N/A,N/A,N/A,N/A,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
3620031,100MB,DATA,Data+Min,50MB + 2Min @ 500Tshs,All zones,  500 ,  450 ,  50 ,*148*08#,24 hrs,N/A,256Kb,2,0,0,50,0,0,0,0,0,5005,N/A,N/A,5062,N/A,N/A,N/A,N/A,N/A,N/A,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
3620028,WhatsApp_Month,DATA,Social,WhatsApp for a Month,All zones,"  1,000 ",  500 ,  500 ,*148*08#,30 days,38 & 32,256Kb,0,0,0,0,0,3072,0,0,0,N/A,N/A,N/A,N/A,N/A,5075,N/A,N/A,N/A,N/A,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
3310063,950Pack_EVC,ALL NETS,ON NET,Xtreme999-EVC,All Zones ,"  1,000 ",  955 ,  45 ,*148*08#,24 hrs,N/A,N/A,50,5,200,8,50,0,5000,0,0,5005,5007,5003,5011,5088,N/A,5021,N/A,N/A,N/A,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
3310062,600Pack_EVC,ALL NETS,ON NET,Xtreme649-EVC,All Zones ,  650 ,  625 ,  25 ,*148*08#,24 hrs,N/A,N/A,28,2,100,3,50,0,0,0,0,5005,5007,5003,5011,5088,N/A,N/A,N/A,N/A,N/A,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
